temp,feelsLike,pressure,humidity,clouds,windSpeed,windDir,gustSpeed,result
35.6,36.9,978.0,35.0,100.0,3.05,220.0,4.0,1
34.4,35.3,979.0,37.0,100.0,0.78,144.0,2.0,1
33.3,34.8,981.0,42.0,100.0,2.02,78.0,2.02,1
31.7,33.1,982.0,47.0,100.0,4.38,206.0,5.0,1
28.5,30.5,984.0,62.0,100.0,1.45,214.0,2.0,1
28.1,30.2,984.0,65.0,100.0,1.6,220.0,2.0,1
27.4,29.4,983.0,69.0,100.0,1.4,286.0,2.0,1
34.8,36.1,981.0,37.0,58.0,1.85,282.0,2.0,1
34.7,35.9,980.0,37.0,35.0,1.89,258.0,2.0,1
28.8,31.0,983.0,62.0,56.0,3.67,267.0,5.0,1
26.0,26.6,985.0,76.0,95.0,1.32,41.0,2.0,1
26.2,26.9,984.0,75.0,79.0,2.41,45.0,3.0,1
28.4,30.4,981.0,63.0,95.0,4.25,262.0,6.0,1
29.7,31.8,980.0,57.0,84.0,2.11,269.0,3.0,1
29.0,31.2,981.0,61.0,91.0,2.42,261.0,3.0,1
26.9,29.2,983.0,75.0,75.0,2.44,266.0,4.0,1
26.7,28.9,984.0,76.0,80.0,2.01,148.0,2.01,1
26.4,27.1,985.0,75.0,100.0,2.75,209.0,3.0,1
26.6,27.3,982.0,75.0,100.0,2.53,178.0,4.0,1
32.9,35.3,980.0,47.0,47.0,2.78,282.0,2.78,1
25.9,26.6,983.0,77.0,71.0,2.66,196.0,4.0,1
33.4,34.2,979.0,39.0,46.0,4.88,226.0,6.0,1
35.1,37.1,978.0,39.0,49.0,2.52,193.0,3.0,1
33.1,35.4,979.0,46.0,98.0,0.25,193.0,3.0,1
27.5,29.6,983.0,70.0,2.0,1.86,192.0,2.0,1
27.2,29.3,982.0,72.0,21.0,1.59,165.0,2.0,1
32.1,34.1,978.0,48.0,100.0,5.08,355.0,5.08,1
26.1,26.8,979.0,77.0,74.0,6.48,71.0,8.0,1
25.8,26.5,981.0,78.0,100.0,2.55,167.0,3.0,1
24.9,25.6,982.0,85.0,99.0,4.56,177.0,7.0,1
24.7,25.5,983.0,88.0,99.0,3.85,203.0,6.0,1
24.5,25.3,983.0,87.0,100.0,4.15,206.0,6.0,1
32.2,33.9,979.0,47.0,99.0,1.6,163.0,2.0,1
